$/MWh,datetime
3.24,2023-01-01 00:00:00
4.35,2023-01-01 00:30:00
3.61,2023-01-01 01:00:00
6.12,2023-01-01 01:30:00
4.73,2023-01-01 02:00:00
2.96,2023-01-01 02:30:00
0.03,2023-01-01 03:00:00
0.05,2023-01-01 03:30:00
0.03,2023-01-01 04:00:00
0.03,2023-01-01 04:30:00
1.47,2023-01-01 05:00:00
3.0,2023-01-01 05:30:00
5.26,2023-01-01 06:00:00
4.41,2023-01-01 06:30:00
3.82,2023-01-01 07:00:00
1.62,2023-01-01 07:30:00
0.03,2023-01-01 08:00:00
0.03,2023-01-01 08:30:00
0.03,2023-01-01 09:00:00
3.58,2023-01-01 09:30:00
5.64,2023-01-01 10:00:00
5.17,2023-01-01 10:30:00
5.2,2023-01-01 11:00:00
5.41,2023-01-01 11:30:00
4.73,2023-01-01 12:00:00
5.32,2023-01-01 12:30:00
0.03,2023-01-01 13:00:00
0.03,2023-01-01 13:30:00
0.03,2023-01-01 14:00:00
0.03,2023-01-01 14:30:00
0.03,2023-01-01 15:00:00
0.03,2023-01-01 15:30:00
0.03,2023-01-01 16:00:00
0.69,2023-01-01 16:30:00
1.37,2023-01-01 17:00:00
5.07,2023-01-01 17:30:00
4.27,2023-01-01 18:00:00
4.77,2023-01-01 18:30:00
4.56,2023-01-01 19:00:00
4.89,2023-01-01 19:30:00
6.19,2023-01-01 20:00:00
9.31,2023-01-01 20:30:00
10.23,2023-01-01 21:00:00
9.52,2023-01-01 21:30:00
9.31,2023-01-01 22:00:00
5.61,2023-01-01 22:30:00
25.28,2023-01-01 23:00:00
7.15,2023-01-01 23:30:00
6.65,2023-01-02 00:00:00
5.4,2023-01-02 00:30:00
4.8,2023-01-02 01:00:00
4.56,2023-01-02 01:30:00
4.86,2023-01-02 02:00:00
5.23,2023-01-02 02:30:00
5.36,2023-01-02 03:00:00
5.34,2023-01-02 03:30:00
5.08,2023-01-02 04:00:00
5.35,2023-01-02 04:30:00
8.52,2023-01-02 05:00:00
9.83,2023-01-02 05:30:00
5.16,2023-01-02 06:00:00
5.32,2023-01-02 06:30:00
9.01,2023-01-02 07:00:00
7.52,2023-01-02 07:30:00
4.79,2023-01-02 08:00:00
3.56,2023-01-02 08:30:00
5.0,2023-01-02 09:00:00
5.5,2023-01-02 09:30:00
5.48,2023-01-02 10:00:00
5.16,2023-01-02 10:30:00
5.27,2023-01-02 11:00:00
5.27,2023-01-02 11:30:00
7.17,2023-01-02 12:00:00
6.85,2023-01-02 12:30:00
4.81,2023-01-02 13:00:00
4.78,2023-01-02 13:30:00
4.97,2023-01-02 14:00:00
5.5,2023-01-02 14:30:00
8.98,2023-01-02 15:00:00
7.11,2023-01-02 15:30:00
5.22,2023-01-02 16:00:00
5.46,2023-01-02 16:30:00
6.53,2023-01-02 17:00:00
10.16,2023-01-02 17:30:00
9.0,2023-01-02 18:00:00
9.73,2023-01-02 18:30:00
10.34,2023-01-02 19:00:00
12.62,2023-01-02 19:30:00
10.89,2023-01-02 20:00:00
32.48,2023-01-02 20:30:00
51.55,2023-01-02 21:00:00
56.27,2023-01-02 21:30:00
10.67,2023-01-02 22:00:00
8.05,2023-01-02 22:30:00
40.98,2023-01-02 23:00:00
22.35,2023-01-02 23:30:00
55.69,2023-01-03 00:00:00
27.99,2023-01-03 00:30:00
11.43,2023-01-03 01:00:00
12.0,2023-01-03 01:30:00
44.32,2023-01-03 02:00:00
43.43,2023-01-03 02:30:00
39.05,2023-01-03 03:00:00
11.15,2023-01-03 03:30:00
10.49,2023-01-03 04:00:00
12.16,2023-01-03 04:30:00
16.01,2023-01-03 05:00:00
26.94,2023-01-03 05:30:00
34.84,2023-01-03 06:00:00
16.79,2023-01-03 06:30:00
39.35,2023-01-03 07:00:00
36.09,2023-01-03 07:30:00
9.66,2023-01-03 08:00:00
8.4,2023-01-03 08:30:00
9.09,2023-01-03 09:00:00
17.03,2023-01-03 09:30:00
29.45,2023-01-03 10:00:00
10.96,2023-01-03 10:30:00
9.49,2023-01-03 11:00:00
9.93,2023-01-03 11:30:00
16.62,2023-01-03 12:00:00
10.29,2023-01-03 12:30:00
64.06,2023-01-03 13:00:00
64.29,2023-01-03 13:30:00
61.05,2023-01-03 14:00:00
57.67,2023-01-03 14:30:00
53.69,2023-01-03 15:00:00
62.72,2023-01-03 15:30:00
78.94,2023-01-03 16:00:00
76.58,2023-01-03 16:30:00
72.92,2023-01-03 17:00:00
80.83,2023-01-03 17:30:00
80.86,2023-01-03 18:00:00
83.04,2023-01-03 18:30:00
80.23,2023-01-03 19:00:00
79.95,2023-01-03 19:30:00
79.91,2023-01-03 20:00:00
79.77,2023-01-03 20:30:00
80.4,2023-01-03 21:00:00
80.39,2023-01-03 21:30:00
80.01,2023-01-03 22:00:00
68.2,2023-01-03 22:30:00
73.49,2023-01-03 23:00:00
69.27,2023-01-03 23:30:00
40.18,2023-01-04 00:00:00
40.05,2023-01-04 00:30:00
40.05,2023-01-04 01:00:00
40.02,2023-01-04 01:30:00
39.99,2023-01-04 02:00:00
39.99,2023-01-04 02:30:00
39.98,2023-01-04 03:00:00
40.0,2023-01-04 03:30:00
39.99,2023-01-04 04:00:00
40.0,2023-01-04 04:30:00
40.01,2023-01-04 05:00:00
39.96,2023-01-04 05:30:00
39.98,2023-01-04 06:00:00
31.02,2023-01-04 06:30:00
30.79,2023-01-04 07:00:00
39.53,2023-01-04 07:30:00
37.58,2023-01-04 08:00:00
29.65,2023-01-04 08:30:00
42.94,2023-01-04 09:00:00
40.98,2023-01-04 09:30:00
40.47,2023-01-04 10:00:00
36.74,2023-01-04 10:30:00
32.23,2023-01-04 11:00:00
40.31,2023-01-04 11:30:00
39.92,2023-01-04 12:00:00
38.93,2023-01-04 12:30:00
38.2,2023-01-04 13:00:00
38.11,2023-01-04 13:30:00
33.05,2023-01-04 14:00:00
40.91,2023-01-04 14:30:00
60.64,2023-01-04 15:00:00
48.57,2023-01-04 15:30:00
70.14,2023-01-04 16:00:00
78.44,2023-01-04 16:30:00
66.44,2023-01-04 17:00:00
70.66,2023-01-04 17:30:00
46.77,2023-01-04 18:00:00
49.61,2023-01-04 18:30:00
40.49,2023-01-04 19:00:00
40.34,2023-01-04 19:30:00
39.51,2023-01-04 20:00:00
40.2,2023-01-04 20:30:00
40.21,2023-01-04 21:00:00
40.2,2023-01-04 21:30:00
40.19,2023-01-04 22:00:00
40.2,2023-01-04 22:30:00
40.29,2023-01-04 23:00:00
40.27,2023-01-04 23:30:00
40.21,2023-01-05 00:00:00
40.08,2023-01-05 00:30:00
40.07,2023-01-05 01:00:00
40.06,2023-01-05 01:30:00
40.01,2023-01-05 02:00:00
40.01,2023-01-05 02:30:00
40.01,2023-01-05 03:00:00
40.01,2023-01-05 03:30:00
40.0,2023-01-05 04:00:00
39.99,2023-01-05 04:30:00
40.05,2023-01-05 05:00:00
39.98,2023-01-05 05:30:00
39.98,2023-01-05 06:00:00
39.76,2023-01-05 06:30:00
37.26,2023-01-05 07:00:00
39.93,2023-01-05 07:30:00
38.71,2023-01-05 08:00:00
23.41,2023-01-05 08:30:00
28.41,2023-01-05 09:00:00
40.31,2023-01-05 09:30:00
41.36,2023-01-05 10:00:00
38.22,2023-01-05 10:30:00
28.33,2023-01-05 11:00:00
